financial_level_1,financial_level_2,budget_level_1,budget_level_2,budget_level_3,label
Invested,Stocks & Crypto,Stocks & Crypto,Stablecoin,USDC,USDC
Invested,Stocks & Crypto,Stocks & Crypto,Stablecoin,USDT,USDT
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,HDV,HDV
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,JPMC,JPMC34
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,JPMC,JPM
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,KO,KO
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,MS,MSBR34
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,MS,MS
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,MS,DWD
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,MTD,MTD
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,MTF,MTF
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,SXLU,SXLU
Invested,Stocks & Crypto,Stocks & Crypto,Value stocks,V,V
Invested,Stocks & Crypto,Stocks & Crypto,Gold,GOLD,GOLD
Invested,Stocks & Crypto,Stocks & Crypto,Gold,PAXG,PAXG
Uninvested,Work,Work,Salary,Bonus,13th
Uninvested,Work,Work,Salary,Bonus,Complement
Uninvested,Work,Work,Salary,Salary,Salary
Uninvested,Work,Work,Teaching,Teaching,Teaching
Uninvested,Other sources,Other sources,Alternative,Betting,Other
Uninvested,Other sources,Other sources,Loan,Parents,Loan
Uninvested,Other sources,Other sources,Cash,Cash,Cash
Uninvested,Other sources,Other sources,Parents,Support,Support
Uninvested,Other sources,Other sources,Parents,Support,Void
Uninvested,Other sources,Other sources,Taxes,Tax refund,Taxes
Uninvested,Other sources,Other sources,Taxes,Tax refund,Tax refund
